id,symbol,mint,mode,status,entrySol,entryPrice,entryAt,exitPrice,exitAt,exitReason,realizedPnlSol,amountTokens
paper-FjXGHHqPGvainmg8VuQkkzs8nEWiXVgjhSK1A6BVpump-1781950776248,ANSEM,FjXGHHqPGvainmg8VuQkkzs8nEWiXVgjhSK1A6BVpump,paper,closed,0.02376,2.14131990061444e-7,1781950776248,3.07208367039835e-7,1781951256966,time_stop,0.00810228183764135,0
paper-Dud4aYN3adcdPWZiTiVoNBZsZELpD5ZoxdJzPu8Upump-1781950249570,RKC,Dud4aYN3adcdPWZiTiVoNBZsZELpD5ZoxdJzPu8Upump,paper,closed,0.02376,2.23471158855088e-7,1781950249570,2.63528613380788e-8,1781950254750,hard_stop,-0.021031071408404,0
paper-G5aGkMvhMNdzbNhdeC8PEsaHT8mHSBp6Hz9krxhRpump-1781948989588,PIGEON,G5aGkMvhMNdzbNhdeC8PEsaHT8mHSBp6Hz9krxhRpump,paper,closed,0.02376,2.24857823499439e-7,1781948989588,2.9588787217866e-8,1781949160506,hard_stop,-0.0207148756093524,0
paper-DUFJ2JbBJirGkLWxrtExf6rrr54Ypy6SySLgAkVdpump-1781948599853,Franklin,DUFJ2JbBJirGkLWxrtExf6rrr54Ypy6SySLgAkVdpump,paper,closed,0.02376,2.56657155609283e-7,1781948599853,3.71739119406639e-8,1781948644412,hard_stop,-0.0204082565858757,0
paper-EVay4tM2roeMcwQyoTofdSBMUJeUYgZwnrAb6dpVpump-1781943576739,Jotchua,EVay4tM2roeMcwQyoTofdSBMUJeUYgZwnrAb6dpVpump,paper,closed,0.02376,2.21596902443363e-7,1781943576739,3.13318832433203e-7,1781944057032,time_stop,0.00790082107726319,0
paper-QHigH762BWm2PB5KEiehyPVpHbdk8HNfJFX2NAnpump-1781936822596,WFLAG,QHigH762BWm2PB5KEiehyPVpHbdk8HNfJFX2NAnpump,paper,closed,0.02376,1.19419512718242e-7,1781936822596,3.04527472591897e-8,1781936832978,hard_stop,-0.0178588444950612,0
paper-3bBQrzzq9DRXXFfC9nUno9m1MBm9Y7dVnBBK44bVpump-1781929728818,BTL,3bBQrzzq9DRXXFfC9nUno9m1MBm9Y7dVnBBK44bVpump,paper,closed,0.02376,1.57890566852147e-7,1781929728818,1.34525825052e-7,1781929772815,trailing_stop,-0.00404324880479705,0
paper-2y8TRb6VVpRgnmZDsEzzPspGj5SNxskjZbXynqsmpump-1781926713817,DROOL,2y8TRb6VVpRgnmZDsEzzPspGj5SNxskjZbXynqsmpump,paper,closed,0.02376,2.20206013971195e-7,1781926713817,1.7082407737703e-7,1781926733946,hard_stop,-0.00580829165149679,0
paper-8b1k1qTN8TrRPsGS9q6Nbm6QsVb6PxzZMVTCY9oxpump-1781923834971,VERSE,8b1k1qTN8TrRPsGS9q6Nbm6QsVb6PxzZMVTCY9oxpump,paper,closed,0.02376,1.43102072163123e-7,1781923834971,1.11433912340608e-7,1781923877121,hard_stop,-0.00573989439791634,0
paper-9qhzBmwbKmh7PUSrahEMBtQSWyu6KqvxYfmfCZPqpump-1781918208963,Pumpfun,9qhzBmwbKmh7PUSrahEMBtQSWyu6KqvxYfmfCZPqpump,paper,closed,0.02376,1.737485151321e-7,1781918208963,1.09965008694919e-7,1781918245585,hard_stop,-0.00911399132892665,0
paper-6JK1DdCU7eTt6VspgEavWGZxLkyZsa1DYNyG9ztpump-1781912386801,Uranus,6JK1DdCU7eTt6VspgEavWGZxLkyZsa1DYNyG9ztpump,paper,closed,0.02376,2.22203519459173e-7,1781912386801,1.85558520826053e-7,1781912442248,trailing_stop,-0.00443516278503932,0
paper-Hge6oEpZnmMDkMn4GFW3iDYgVuALArRrNvsCW7VRpump-1781909988014,PENGUIN,Hge6oEpZnmMDkMn4GFW3iDYgVuALArRrNvsCW7VRpump,paper,closed,0.02376,1.86654712514475e-7,1781909988014,2.4860419288436e-7,1781910141776,trailing_stop,0.00726210940530129,0
paper-3LzDGqiY7kJA8aa3RpCnvy7UoU7hBz65s1nUXcqAfomo-1781904556853,HYPER,3LzDGqiY7kJA8aa3RpCnvy7UoU7hBz65s1nUXcqAfomo,paper,closed,0.02376,1.35389674293463e-7,1781904556853,2.17111292857807e-7,1781904824742,trailing_stop,0.00986126091849253,0
paper-2WhtDtUxWtJFS71PKuozvTKqmdfUatH2dhiu8G4Lpump-1781900059536,HELM,2WhtDtUxWtJFS71PKuozvTKqmdfUatH2dhiu8G4Lpump,paper,closed,0.02376,2.89232037842997e-7,1781900059536,2.95187105822652e-7,1781900079804,trailing_stop,-0.00014234026836547,0
paper-DTHfJ9MVDx7Vq3ohV6oAy8BFpovCF7oEBvPonScmfomo-1781895347236,Kinovi,DTHfJ9MVDx7Vq3ohV6oAy8BFpovCF7oEBvPonScmfomo,paper,closed,0.02376,1.95200823243476e-7,1781895347236,2.50345912430696e-8,1781895362873,hard_stop,-0.0207921309446963,0
paper-96GjV6YmD6gPtyikgcKfCvba4dRv6VwRmEBuycXkpump-1781894776472,CHROMEBOY,96GjV6YmD6gPtyikgcKfCvba4dRv6VwRmEBuycXkpump,paper,closed,0.02376,1.71529438753417e-7,1781894776472,1.49353364904619e-7,1781894806751,trailing_stop,-0.00361059525030406,0
paper-F3FwvuZEX51rNRbFvaFTzxobwycJ3WaRZGiMQkmnpump-1781890352115,CHESS,F3FwvuZEX51rNRbFvaFTzxobwycJ3WaRZGiMQkmnpump,paper,closed,0.02376,1.7894237585813e-7,1781890352115,1.53219235064959e-7,1781890395960,trailing_stop,-0.00394537003612632,0
paper-92JjBgVFpeYSMjwChtxsTmD8VogTVuLsv8VWCzBtfomo-1781886918272,Instant,92JjBgVFpeYSMjwChtxsTmD8VogTVuLsv8VWCzBtfomo,paper,closed,0.02376,1.68525274342343e-7,1781886918272,2.228461884411e-7,1781887143384,trailing_stop,0.00703409801217693,0
paper-EuNqbtTvbKWb2nGpFEQaqa7bp5X4Nek4EZ4hS7oTpump-1781884021814,RATS ,EuNqbtTvbKWb2nGpFEQaqa7bp5X4Nek4EZ4hS7oTpump,paper,closed,0.02376,1.56351754034497e-7,1781884021814,1.63053025960046e-7,1781884218791,trailing_stop,0.000373037122910085,0
paper-7yVbC1eKmyxSe4rEauwdtSqhC8jUDF4jC2kFqkVipump-1781883016276,WOT,7yVbC1eKmyxSe4rEauwdtSqhC8jUDF4jC2kFqkVipump,paper,closed,0.02376,1.23151763917659e-7,1781883016276,1.01431222796609e-7,1781883166589,trailing_stop,0.00257061163440301,0
